Distric Number,District,% Eco Disadvantaged,2020 4-Year Graduation Rate,2020 Dropout Rate
101840,TWO DIMENSIONS PREPARATORY ACADEMY ,97.5,,
101842,COMQUEST ACADEMY ,55.3,100,0
101845,YES PREP PUBLIC SCHOOLS INC ,91.7,95.8,0.6
101846,HARMONY SCIENCE ACADEMY ,81.7,95.3,0.4
101847,BEATRICE MAYES INSTITUTE CHARTER S ,67.7,,
101849,ACCELERATED INTERMEDIATE ACADEMY ,97,,
101853,PROMISE COMMUNITY SCHOOL ,98.6,,
101855,MEYERPARK ELEMENTARY ,93.8,,
101856,DRAW ACADEMY ,98.4,,
101858,HARMONY SCHOOL OF EXCELLENCE ,68.6,98.3,0.3
101859,STEP CHARTER SCHOOL ,100,,
101861,THE RHODES SCHOOL ,85.4,,
101862,HARMONY SCHOOL OF SCIENCE - HOUSTO ,54.1,99.6,0.1
101864,THE LAWSON ACADEMY ,90.1,,
101868,THE PRO-VISION ACADEMY ,76.6,91.7,2.6
101870,BETA ACADEMY ,68.4,,0
101871,A+ UNLIMITED POTENTIAL ,69.1,,
101872,ETOILE ACADEMY CHARTER SCHOOL ,94.4,,
101873,YELLOWSTONE COLLEGE PREPARATORY ,95.7,,4
101874,LEGACY SCHOOL OF SPORT SCIENCES ,23,,0.8
